Geneid	WT_1	WT_2	DEL_slyA_1	DEL_slyA_2
BW25113_RS00005	4	11	14	7
BW25113_RS00010	70	87	97	77
BW25113_RS00015	30	21	26	22
BW25113_RS00020	33	42	33	26
BW25113_RS00030	5	7	6	6
BW25113_RS00035	21	12	23	23
BW25113_RS00040	24	29	23	22
BW25113_RS00045	507	491	380	371
BW25113_RS00050	30	28	22	28
BW25113_RS00055	18	17	9	15
BW25113_RS00060	7	7	9	10
BW25113_RS00065	2	4	3	3
BW25113_RS00070	1045	1031	2741	2772
BW25113_RS00075	128	154	330	300
BW25113_RS00080	6	11	20	19
BW25113_RS00085	7	8	12	10
BW25113_RS00090	39	35	39	32
BW25113_RS00095	23	27	17	21
BW25113_RS00100	6	10	13	7
BW25113_RS00110	78	97	72	83
BW25113_RS00115	5	5	8	6
BW25113_RS00120	99	121	83	84
BW25113_RS00125	458	458	474	383
BW25113_RS00130	46	44	38	34
BW25113_RS00135	42	32	29	37
BW25113_RS00140	68	63	57	63
BW25113_RS00145	55	57	49	51
BW25113_RS00150	26	12	26	24
BW25113_RS00165	14	16	16	14
BW25113_RS00170	38	37	37	29
BW25113_RS00180	14	11	5	10
BW25113_RS00185	5	5	6	8
BW25113_RS00190	10	8	10	9
BW25113_RS00195	19	19	21	18
BW25113_RS00200	26	32	16	26
BW25113_RS00205	19	29	16	22
BW25113_RS00210	19	21	10	13
BW25113_RS00215	5	10	9	5
BW25113_RS00220	5	7	9	6
BW25113_RS00225	15	13	7	17
BW25113_RS00230	7	3	4	2
BW25113_RS00235	12	12	19	18
BW25113_RS00240	8	5	12	5
BW25113_RS00245	22	23	20	18
BW25113_RS00250	13	10	10	9
BW25113_RS00255	35	33	25	31
BW25113_RS00260	34	30	19	31
BW25113_RS00265	84	79	63	74
BW25113_RS00270	101	101	100	73
BW25113_RS00275	233	228	140	167
BW25113_RS00280	342	290	307	249
BW25113_RS00285	22	26	21	17
BW25113_RS00290	14	18	11	12
BW25113_RS25860	8	5	4	6
BW25113_RS00295	31	17	18	18
BW25113_RS00300	61	69	76	89
BW25113_RS00305	53	55	25	42
BW25113_RS00310	9	3	6	10
BW25113_RS00315	18	15	14	11
BW25113_RS00320	25	29	21	22
BW25113_RS00325	20	8	10	13
BW25113_RS00330	16	19	11	13
BW25113_RS00335	20	18	13	11
BW25113_RS00340	24	36	28	24
BW25113_RS00345	3	2	2	2
BW25113_RS00350	20	14	13	11
BW25113_RS00355	10	15	10	11
BW25113_RS00360	14	12	20	17
BW25113_RS00365	15	18	14	11
BW25113_RS00370	20	21	27	32
BW25113_RS00375	1	1	2	2
BW25113_RS00380	9	18	9	10
BW25113_RS25405	0	0	1	1
BW25113_RS00385	25	24	32	28
BW25113_RS00390	6	8	6	8
BW25113_RS00395	0	0	3	0
BW25113_RS00400	73	70	89	79
BW25113_RS00405	57	52	42	45
BW25113_RS00410	108	85	93	84
BW25113_RS00415	27	21	16	14
BW25113_RS00420	81	64	78	68
BW25113_RS00425	103	116	80	76
BW25113_RS00430	100	95	88	77
BW25113_RS00435	64	57	51	71
BW25113_RS00440	88	94	74	93
BW25113_RS00445	105	91	127	100
BW25113_RS00450	85	109	74	93
BW25113_RS00455	129	126	100	119
BW25113_RS00460	103	106	83	79
BW25113_RS00465	138	137	103	95
BW25113_RS00470	181	177	160	182
BW25113_RS00475	320	272	251	228
BW25113_RS00480	439	435	357	372
BW25113_RS00485	68	71	80	61
BW25113_RS00490	476	487	311	344
BW25113_RS00495	9	14	11	16
BW25113_RS00505	19	11	16	5
BW25113_RS00510	38	35	23	21
BW25113_RS00515	22	17	17	13
BW25113_RS25965	0	1	1	0
BW25113_RS00520	20	39	32	38
BW25113_RS00525	18	23	22	20
BW25113_RS00530	23	24	22	21
BW25113_RS00535	4	5	3	6
BW25113_RS00545	24	34	25	33
BW25113_RS00550	24	17	15	11
BW25113_RS00555	32	29	20	35
BW25113_RS00560	26	33	28	31
BW25113_RS00565	46	63	160	162
BW25113_RS00570	722	713	2363	2348
BW25113_RS00575	385	350	872	824
BW25113_RS00580	605	568	643	652
BW25113_RS00585	17	22	21	28
BW25113_RS00590	777	730	487	509
BW25113_RS00595	40	32	25	25
BW25113_RS00600	35	41	57	53
BW25113_RS00605	60	64	65	61
BW25113_RS00610	22	15	11	16
BW25113_RS00615	40	40	39	46
BW25113_RS00620	80	97	81	96
BW25113_RS00625	31	26	24	28
BW25113_RS00630	70	66	68	65
BW25113_RS00635	62	59	77	61
BW25113_RS00640	24	29	47	28
BW25113_RS00645	15	10	9	7
BW25113_RS00650	21	28	22	17
BW25113_RS00655	28	27	29	33
BW25113_RS00660	18	13	21	19
BW25113_RS00665	63	60	59	45
BW25113_RS00670	45	49	50	29
BW25113_RS00675	0	1	1	5
BW25113_RS00680	3	2	2	3
BW25113_RS00685	2	2	1	4
BW25113_RS00690	4	2	5	2
BW25113_RS00695	18	23	16	18
BW25113_RS00700	15	5	4	4
BW25113_RS00705	7	8	3	2
BW25113_RS00710	12	9	7	7
BW25113_RS00715	63	53	41	43
BW25113_RS00720	13	13	11	13
BW25113_RS00725	165	149	125	144
BW25113_RS00730	103	120	99	94
BW25113_RS00735	8	12	6	6
BW25113_RS00740	52	42	32	20
BW25113_RS00750	56	68	65	59
BW25113_RS00755	51	50	46	45
BW25113_RS00760	14	9	7	6
BW25113_RS00765	8	11	7	15
BW25113_RS00770	19	8	13	17
BW25113_RS00775	67	76	59	59
BW25113_RS26045	3	2	3	2
BW25113_RS00780	41	34	34	31
BW25113_RS25410	3	1	2	2
BW25113_RS00785	17	18	21	14
