"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BW25113_RS08595",28.7738999012082,-3.83556649986876,0.645233655538167,-5.94446130784924,2.7736747319182e-09,4.75327323010176e-08
"BW25113_RS16200",66.2030678493348,-3.14485324575035,0.372271233812968,-8.44774712657587,2.96977758339546e-17,9.70888825340823e-16
"BW25113_RS16205",52.9544352585868,-2.84700168964385,0.398994544743107,-7.13544013860365,9.64779400997534e-13,2.0919961501222e-11
"BW25113_RS16210",43.9681057031382,-2.76133885391319,0.422358379009125,-6.53790475375779,6.23866317209658e-11,1.2162531413491e-09
"BW25113_RS14975",24.8012017036872,-2.36255549622769,0.524335765989253,-4.50580648789103,6.61213252466393e-06,7.98339864483571e-05
"BW25113_RS16720",179.352520426066,-2.14289355699774,0.193175878730206,-11.092966529173,1.35711225648482e-28,8.23961012865782e-27
"BW25113_RS16175",484.366051749328,-2.02072189486901,0.11580152746885,-17.4498725451836,3.45001696279976e-68,6.10940503829124e-66
"BW25113_RS16715",92.8736030383046,-2.00100648257463,0.263197145054829,-7.60269068328144,2.90036158826286e-14,7.25090397065715e-13
"BW25113_RS19285",294.310332186138,-1.80090801114854,0.143649599512007,-12.5368119177945,4.69506466830081e-36,3.69518978523675e-34
"BW25113_RS16705",38.5494850120114,-1.73944906511784,0.393369987375917,-4.42191606106332,9.78294641135665e-06,0.00011745062781996
"BW25113_RS11715",289.34057710188,-1.73743524423273,0.144960608397801,-11.9855681031971,4.22934896117026e-33,2.80855204452713e-31
"BW25113_RS14935",24.3319188623044,-1.72760678687876,0.492101349660546,-3.51067272640174,0.000446974319339876,0.00402466283303914
"BW25113_RS11710",310.885927737136,-1.69257126928316,0.137510438988422,-12.3086747575991,8.13479465988821e-35,5.96084091457326e-33
"BW25113_RS16170",987.843852677231,-1.6786544820206,0.080336923605665,-20.8951800327866,5.9232923955317e-97,1.57337454256311e-94
"BW25113_RS12675",24.8423628547564,-1.67598504899036,0.482515616843095,-3.47343172010816,0.000513848088456673,0.00456873300406038
"BW25113_RS15870",42.6058195690991,-1.66606012592745,0.38536937135559,-4.32328111615838,1.53725649293852e-05,0.000174688237833923
"BW25113_RS21140",50.1761035653817,-1.65775892614338,0.498887361685173,-3.32291225126189,0.000890829321897818,0.00745280436627112
"BW25113_RS14930",22.2359775129794,-1.64853646724696,0.511506383827846,-3.22290497121499,0.00126897645278198,0.0102142990990974
"BW25113_RS16165",726.930484795687,-1.63825778543086,0.0926133710932822,-17.6892144848153,5.07783416179718e-70,9.80945235801729e-68
"BW25113_RS05220",121.836201943856,-1.60474639164862,0.219448912747594,-7.31261946826943,2.61984167808704e-13,5.98619738272576e-12
