# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-F" "GFF" "-t" "gene" "-g" "locus_tag" "-a" "ref/GCF_000750555.1_ASM75055v1_genomic.gff" "-o" "counts/gene_counts.txt" "bam/SRR13970433.sorted.bam" "bam/SRR13970434.sorted.bam" "bam/SRR13970441.sorted.bam" "bam/SRR13970442.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR13970433.sorted.bam	bam/SRR13970434.sorted.bam	bam/SRR13970441.sorted.bam	bam/SRR13970442.sorted.bam
BW25113_RS00005	NZ_CP009273.1	190	255	+	66	4	11	14	7
BW25113_RS00010	NZ_CP009273.1	337	2799	+	2463	70	87	97	77
BW25113_RS00015	NZ_CP009273.1	2801	3733	+	933	30	21	26	22
BW25113_RS00020	NZ_CP009273.1	3734	5020	+	1287	33	42	33	26
BW25113_RS00030	NZ_CP009273.1	5234	5530	+	297	5	7	6	6
BW25113_RS00035	NZ_CP009273.1	5683	6459	-	777	21	12	23	23
BW25113_RS00040	NZ_CP009273.1	6529	7959	-	1431	24	29	23	22
BW25113_RS00045	NZ_CP009273.1	8238	9191	+	954	507	491	380	371
BW25113_RS00050	NZ_CP009273.1	9306	9893	+	588	30	28	22	28
BW25113_RS00055	NZ_CP009273.1	9928	10494	-	567	18	17	9	15
BW25113_RS00060	NZ_CP009273.1	10643	11356	-	714	7	7	9	10
BW25113_RS00065	NZ_CP009273.1	11382	11786	-	405	2	4	3	3
BW25113_RS00070	NZ_CP009273.1	12163	14079	+	1917	1045	1031	2741	2772
BW25113_RS00075	NZ_CP009273.1	14168	15298	+	1131	128	154	330	300
BW25113_RS00080	NZ_CP009273.1	15445	16557	+	1113	6	11	20	19
BW25113_RS00085	NZ_CP009273.1	16751	16903	-	153	7	8	12	10
BW25113_RS00090	NZ_CP009273.1	17489	18655	+	1167	39	35	39	32
BW25113_RS00095	NZ_CP009273.1	18721	19620	+	900	23	27	17	21
BW25113_RS00100	NZ_CP009273.1	19811	20508	-	698	6	10	13	7
BW25113_RS00110	NZ_CP009273.1	20815	21078	-	264	78	97	72	83
BW25113_RS00115	NZ_CP009273.1	21181	21399	+	219	5	5	8	6
BW25113_RS00120	NZ_CP009273.1	21407	22348	+	942	99	121	83	84
BW25113_RS00125	NZ_CP009273.1	22391	25207	+	2817	458	458	474	383
BW25113_RS00130	NZ_CP009273.1	25207	25701	+	495	46	44	38	34
BW25113_RS00135	NZ_CP009273.1	25826	26275	+	450	42	32	29	37
BW25113_RS00140	NZ_CP009273.1	26277	27227	+	951	68	63	57	63
BW25113_RS00145	NZ_CP009273.1	27293	28207	+	915	55	57	49	51
BW25113_RS00150	NZ_CP009273.1	28374	29195	+	822	26	12	26	24
BW25113_RS00165	NZ_CP009273.1	29651	30799	+	1149	14	16	16	14
BW25113_RS00170	NZ_CP009273.1	30817	34038	+	3222	38	37	37	29
BW25113_RS00180	NZ_CP009273.1	34300	34695	+	396	14	11	5	10
BW25113_RS00185	NZ_CP009273.1	34781	35371	-	591	5	5	6	8
BW25113_RS00190	NZ_CP009273.1	35377	36162	-	786	10	8	10	9
BW25113_RS00195	NZ_CP009273.1	36271	37824	-	1554	19	19	21	18
BW25113_RS00200	NZ_CP009273.1	37898	39115	-	1218	26	32	16	26
BW25113_RS00205	NZ_CP009273.1	39244	40386	-	1143	19	29	16	22
BW25113_RS00210	NZ_CP009273.1	40417	41931	-	1515	19	21	10	13
BW25113_RS00215	NZ_CP009273.1	42403	43173	+	771	5	10	9	5
BW25113_RS00220	NZ_CP009273.1	43188	44129	+	942	5	7	9	6
BW25113_RS00225	NZ_CP009273.1	44180	45466	+	1287	15	13	7	17
BW25113_RS00230	NZ_CP009273.1	45463	45750	+	288	7	3	4	2
BW25113_RS00235	NZ_CP009273.1	45807	47138	+	1332	12	12	19	18
BW25113_RS00240	NZ_CP009273.1	47246	47776	+	531	8	5	12	5
BW25113_RS00245	NZ_CP009273.1	47769	49631	+	1863	22	23	20	18
BW25113_RS00250	NZ_CP009273.1	49823	50302	+	480	13	10	10	9
BW25113_RS00255	NZ_CP009273.1	50380	51222	-	843	35	33	25	31
BW25113_RS00260	NZ_CP009273.1	51229	51606	-	378	34	30	19	31
BW25113_RS00265	NZ_CP009273.1	51609	52430	-	822	84	79	63	74
BW25113_RS00270	NZ_CP009273.1	52427	53416	-	990	101	101	100	73
BW25113_RS00275	NZ_CP009273.1	53416	54702	-	1287	233	228	140	167
BW25113_RS00280	NZ_CP009273.1	54755	57109	-	2355	342	290	307	249
BW25113_RS00285	NZ_CP009273.1	57364	58179	+	816	22	26	21	17
BW25113_RS00290	NZ_CP009273.1	58474	59124	+	651	14	18	11	12
BW25113_RS25860	NZ_CP009273.1	59121	59279	+	159	8	5	4	6
BW25113_RS00295	NZ_CP009273.1	59687	60346	-	660	31	17	18	18
BW25113_RS00300	NZ_CP009273.1	60358	63264	-	2907	61	69	76	89
BW25113_RS00305	NZ_CP009273.1	63429	65780	-	2352	53	55	25	42
BW25113_RS00310	NZ_CP009273.1	65855	66574	-	720	9	3	6	10
